article,qid,country_code,total_pageviews
Colin_Farrell,Q172035,US,288034
Katy_Perry,Q42493,US,287187
Robin_Williams,Q83338,US,287074
Ana_de_Armas,Q698173,US,285706
Stephen_Curry,Q352159,US,285637
JSON-LD,Q6108942,US,285311
Microdata_(HTML),Q3312185,US,284654
RDFa,Q507673,US,284626
Cate_Blanchett,Q80966,US,284518
Dan_Kwan_and_Daniel_Scheinert,Q30122828,US,283837
Avril_Lavigne,Q30449,US,283004
Ben_Affleck,Q483118,US,282987
Penn_Badgley,Q311750,US,282632
Mark_Wahlberg,Q164119,US,282557
The_Unbearable_Weight_of_Massive_Talent,Q87220566,US,282395
Ukraine,Q212,US,282038
Steak_and_Blowjob_Day,Q43402672,US,280706
Shrinking_(TV_series),Q111942171,US,279911
Brooke_Shields,Q189400,US,278820
Harry_Styles,Q3626966,US,278800
List_of_ethnic_slurs,Q25197302,US,278610
Luther:_The_Fallen_Sun,Q109558145,US,278508
"Meghan,_Duchess_of_Sussex",Q3304418,US,278489
Black_Mafia_Family,Q3640729,US,278284
Whitney_Houston,Q34389,US,278009
Blake_Lively,Q162959,US,277713
Kareem_Abdul-Jabbar,Q179051,US,277576
The_White_Lotus,Q106679014,US,277275
Marianne_Williamson,Q3131983,US,276844
Hayden_Panettiere,Q171571,US,276406
Zachary_Levi,Q139638,US,275948
China,Q148,US,274666
Emma_Heming,Q443073,US,274603
Courteney_Cox,Q58912,US,274303
Selena,Q23543,US,273950
Shakira,Q34424,US,273386
2Pac,Q6107,US,273374
Good_Country_Index,Q17479116,US,273026
Sniffies,Q108541675,US,272691
Judy_Garland,Q11637,US,272411
Macaulay_Culkin,Q103578,US,271141
Emily_Ratajkowski,Q5372335,US,270937
Lauren_Boebert,Q96761544,US,270880
Rupert_Murdoch,Q53944,US,270436
Lana_Del_Rey,Q37150,US,270385
The_Masked_Singer_(American_season_9),Q116371258,US,269924
Willie_Nelson,Q206112,US,269209
John_F._Kennedy,Q9696,US,268730
The_Fabelmans,Q107710009,US,268690
Laozi,Q9333,US,267882
Shohei_Ohtani,Q4391858,US,267824
Drew_Timme,Q88799464,US,267642
Adam_Demos,Q66590078,US,267336
Jim_Crow,Q865365,US,267202
Charles_Barkley,Q192707,US,266972
James_Hong,Q358990,US,266589
Lindsay_Lohan,Q44903,US,266570
FBI_Index,Q5424582,US,265686
South_Park,Q16538,US,265629
Zendaya,Q189489,US,265572
Leslie_Hawkins,Q158462,US,265328
Sadhguru,Q793985,US,265295
OpenAI,Q21708200,US,264537
Instagram,Q209330,US,264315
Shou_Zi_Chew,Q115591126,US,263630
Kevin_Durant,Q29545,US,263255
2024_United_States_presidential_election,Q101110072,US,262154
Stephen_Baldwin,Q310947,US,261667
Babylon_(2022_film),Q107119206,US,261244
Tom_Brady,Q313381,US,260969
This_Is_Where_I_Leave_You,Q15039873,US,260590
Vivek_Ramaswamy,Q27881473,US,259959
John_Wick,Q29554576,US,259884
Nicole_Kidman,Q37459,US,259381
Pau_Gasol,Q193052,US,257854
Road_House_(upcoming_film),Q113630174,US,256774
Travis_Kelce,Q7836292,US,256684
Cara_Delevingne,Q1395624,US,256212
Los_Angeles,Q65,US,256106
2023_Chicago_mayoral_election,Q104843941,US,255757
Yellowstone_(American_TV_series),Q47452423,US,255587
2026_World_Baseball_Classic,Q26457,US,254982
Ronald_Reagan,Q9960,US,254289
Paris_Hilton,Q47899,US,254052
Big_Mac-index,Q309187,US,253122
Chris_Pine,Q23466,US,252550
Twitter,Q918,US,252131
Muhammad_Ali,Q36107,US,251878
Olivia_Wilde,Q200355,US,251762
Matthew_McConaughey,Q188955,US,251747
Philip_Seymour_Hoffman,Q180560,US,251416
Resident_Evil_4_(2023_video_game),Q112231148,US,251364
California,Q99,US,251211
2021_United_States_Capitol_attack,Q104705419,US,250886
Celine_Dion,Q5105,US,250778
Putin,Q7747,US,250727
2023_NCAA_Division_I_men's_basketball_tournament,Q109941616,US,250304
Brad_Pitt,Q35332,US,249818
Abraham_Lincoln,Q91,US,249807
Poker_Face_(TV_series),Q111944613,US,249116
Luther_(TV_series),Q734629,US,249103
UK,Q145,US,248836
Dwayne_Johnson,Q10738,US,247909
Lake_Bell,Q241686,US,247696
Adrian_Toomes_(Marvel_Cinematic_Universe),Q112122181,US,247655
Morgan_Freeman,Q48337,US,247525
Moon_landing,Q495307,US,247408
Shazam!_(film),Q23685878,US,247399
Philip_Berk,Q116383296,US,247027
M3GAN,Q110661062,US,246716
Billy_Loomis,Q2665068,US,246301
Alvin_Bragg,Q107452007,US,245151
Anthony_Volpe,Q64358896,US,243558
Heath_Ledger,Q40572,US,243093
Stipe_Miocic,Q40266,US,242902
Sage_Stallone,Q440932,US,242654
Tobin_Anderson,Q114413987,US,242312
Franklin_D._Roosevelt,Q8007,US,242141
The_Beatles,Q1299,US,241881
Lele_Pons,Q12297196,US,241399
Kanye_West,Q15935,US,240956
Vanessa_Hudgens,Q123174,US,240837
Chicago,Q1297,US,240581
Sofia_Coppola,Q193628,US,240557
Liza_Minnelli,Q14441,US,240171
Survivor_44,Q115803174,US,240011
Carl_Weathers,Q320218,US,239859
Cole_Hauser,Q532180,US,239128
Margot_Robbie,Q1924847,US,238833
The_Hunger_Games_(film_series),Q11885031,US,238364
Jesus_Revolution,Q112339416,US,237893
List_of_Presidents_of_the_United_States,Q35073,US,237638
Malcolm_X,Q43303,US,237605
John_Wick:_Chapter_2,Q21451640,US,237534
Conor_McGregor,Q5162259,US,235969
A_Man_Called_Otto,Q111608782,US,235802
Disappearance_of_Madeleine_McCann,Q639251,US,235703
Wednesday_(TV_series),Q105553568,US,235415
Banzhaf_power_index,Q2742375,US,234803
Credit_Suisse,Q372657,US,234542
Owl,Q25222,US,234190
Anya_Taylor-Joy,Q20882479,US,233887
XXXTentacion,Q28561969,US,233742
Ashton_Kutcher,Q164782,US,233264
Eminem,Q5608,US,233248
Jason_Momoa,Q315271,US,233094
India,Q668,US,233015
William_Shatner,Q16297,US,232773
Sex/Life,Q97671423,US,232762
Helen_Hunt,Q170574,US,232364
Deaths_in_2018,Q8803453,US,232017
Coral_Castle,Q129809,US,231881
Japan,Q17,US,231685
Steven_Adams,Q7614435,US,231587
Angelina_Jolie,Q13909,US,230973
Queen_Victoria,Q9439,US,230966
Chernobyl_disaster,Q486,US,230938
Julia_Roberts,Q40523,US,230710
Henry_VIII,Q38370,US,230485
The_Little_Mermaid_(2023_film),Q24357415,US,230458
Alexei_Navalny,Q155979,US,230383
List_of_largest_U.S._bank_failures,Q6624977,US,230230
Dominique_Fishback,Q37993268,US,230134
International_Women's_Day,Q38964,US,229547
List_of_awards_and_nominations_received_by_Jamie_Lee_Curtis,Q115584859,US,229495
Jimmy_Garoppolo,Q15631945,US,229032
Rocky,Q188652,US,228765
Sarah_Paulson,Q257442,US,228569
John_Cena,Q44437,US,228507
The_Ballad_of_Songbirds_and_Snakes,Q81925268,US,227855
Scream_(1996_film),Q27411,US,227824
Channing_Tatum,Q212064,US,227726
Jeremy_Renner,Q23365,US,227722
Nope_(film),Q107176162,US,227020
Timothy_Olyphant,Q309835,US,226744
Albert_Einstein,Q937,US,226543
JoJo_Siwa,Q24174947,US,226367
Alexandra_Daddario,Q231556,US,226131
David_Byrne,Q336640,US,225855
Mariska_Hargitay,Q275964,US,225704
Jennifer_Lopez,Q40715,US,225690
Mike_Tyson,Q79031,US,225332
Dawn_Staley,Q267636,US,225237
Sarah_Polley,Q234212,US,224927
Hugh_Grant,Q163286,US,224765
Halle_Berry,Q1033016,US,224718
Mayor_of_Kingstown,Q108392632,US,224301
Bill_SkarsgÃ¥rd,Q862460,US,223935
Jennifer_Syme,Q3378469,US,223394
Periodic_table,Q10693,US,223201
Vietnam_War,Q8740,US,222615
Seven_deadly_sins,Q166502,US,222433
American_Civil_War,Q8676,US,221992
Holly_Robinson_Peete,Q434003,US,221842
Music,Q638,US,221752
Sydney_Sweeney,Q49561909,US,221484
Luciane_Buchanan,Q47536762,US,221449
Air_(2023_film),Q115625646,US,221290
Pink_(singer),Q160009,US,220695
Giannis_Antetokounmpo,Q8991894,US,219851
Elizabeth_Holmes,Q17503525,US,219847
"Rolling_Fork,_Mississippi",Q772856,US,219808
Christina_Ricci,Q184103,US,219530
Douyin,Q48938223,US,219418
Florida_Atlantic_University,Q429863,US,219284
2024â25_UEFA_Champions_League,Q18756,US,219273
Matt_Damon,Q175535,US,219101
Joe_Rogan,Q2718421,US,218852
List_of_United_States_counties_and_county_equivalents,Q13360157,US,218549
Steven_Seagal,Q82110,US,218337
Swarm_intelligence,Q863960,US,218316
Kevin_Bacon,Q3454165,US,218225
Napoleon,Q517,US,217854
Prince_(musician),Q7542,US,217837
Jennifer_Coolidge,Q230278,US,217437
Cole_Sprouse,Q11330972,US,217166
Creed_III_(pelÃ­cula),Q110664384,US,216784
Jack_Nicholson,Q39792,US,216026
List_of_countries_and_dependencies_by_population,Q712280,US,215451
Mexico,Q96,US,215372
Johnny_Cash,Q42775,US,214937
